Date;AAA;AA;A;BBB;BB;B;CCC
2024-04-08;0.36;0.49;0.76;1.13;1.86;3.07;8.78
2024-04-05;0.36;0.49;0.78;1.14;1.89;3.12;8.78
2024-04-04;0.36;0.49;0.77;1.15;1.96;3.18;8.83
2024-04-03;0.36;0.49;0.77;1.14;1.94;3.18;8.83
2024-04-02;0.36;0.49;0.78;1.16;1.94;3.19;8.78
2024-04-01;0.37;0.5;0.79;1.16;1.86;3.06;8.59
2024-03-31;0.38;0.51;0.8;1.17;1.9;3.08;8.57
2024-03-29;nan;nan;nan;nan;nan;nan;nan
2024-03-28;0.37;0.5;0.78;1.15;1.87;3.11;8.52
2024-03-27;0.38;0.5;0.79;1.16;1.9;3.13;8.58
2024-03-26;0.38;0.5;0.78;1.16;1.9;3.13;8.59
2024-03-25;0.37;0.49;0.77;1.15;1.87;3.08;8.55
